"","number","color"
"3094",4,"Blue"
"3095",5,"Red"
"3096",6,"Red"
"3097",7,"Black"
"3098",8,"Black"
"3099",9,"Black"
"3100",10,"Red"
"3101",1,"Red"
"3102",2,"Black"
"3103",3,"Blue"
"3104",4,"Black"
"3105",5,"Blue"
"3106",6,"Blue"
"3107",7,"Black"
"3108",8,"Red"
"3109",9,"Black"
"3110",10,"Black"
"3111",1,"Black"
"3112",2,"Black"
"3113",3,"Blue"
"3114",4,"Red"
"3115",5,"Blue"
"3116",6,"Red"
"3117",7,"Black"
"3118",8,"Blue"
"3119",9,"Red"
"3120",10,"Black"
"3121",1,"Red"
"3122",2,"Blue"
"3123",3,"Blue"
"3124",4,"Red"
"3125",5,"Blue"
"3126",6,"Black"
"3127",7,"Red"
"3128",8,"Black"
"3129",9,"Blue"
"3130",10,"Red"
"3131",1,"Red"
"3132",2,"Red"
"3133",3,"Blue"
"3134",4,"Black"
"3135",5,"Red"
"3136",6,"Black"
"3137",7,"Blue"
"3138",8,"Blue"
"3139",9,"Red"
"3140",10,"Blue"
"3141",1,"Black"
"3142",2,"Blue"
"3143",3,"Black"
"3144",4,"Black"
"3145",5,"Red"
"3146",6,"Red"
"3147",7,"Red"
"3148",8,"Red"
"3149",9,"Black"
"3150",10,"Blue"
"3151",1,"Red"
"3152",2,"Blue"
"3153",3,"Blue"
"3154",4,"Black"
"3155",5,"Red"
"3156",6,"Blue"
"3157",7,"Black"
"3158",8,"Red"
"3159",9,"Blue"
"3160",10,"Black"
"3161",1,"Black"
"3162",2,"Blue"
"3163",3,"Black"
"3164",4,"Black"
"3165",5,"Red"
"3166",6,"Red"
"3167",7,"Red"
"3168",8,"Black"
"3169",9,"Black"
"3170",10,"Black"
"3171",1,"Black"
"3172",2,"Black"
"3173",3,"Black"
"3174",4,"Blue"
"3175",5,"Black"
"3176",6,"Black"
"3177",7,"Red"
"3178",8,"Black"
"3179",9,"Red"
"3180",10,"Black"
"3181",1,"Blue"
"3182",2,"Red"
"3183",3,"Red"
"3184",4,"Red"
"3185",5,"Black"
"3186",6,"Blue"
"3187",7,"Blue"
"3188",8,"Black"
"3189",9,"Red"
"3190",10,"Black"
"3191",1,"Black"
"3192",2,"Black"
"3193",3,"Black"
"3194",4,"Blue"
"3195",5,"Black"
"3196",6,"Black"
"3197",7,"Red"
"3198",8,"Black"
"3199",9,"Black"
"3200",10,"Red"
"3201",1,"Blue"
"3202",2,"Black"
"3203",3,"Red"
"3204",4,"Black"
"3205",5,"Red"
"3206",6,"Black"
"3207",7,"Blue"
"3208",8,"Black"
"3209",9,"Red"
"3210",10,"Red"
"3211",1,"Red"
"3212",2,"Black"
"3213",3,"Blue"
"3214",4,"Blue"
"3215",5,"Black"
"3216",6,"Black"
"3217",7,"Red"
"3218",8,"Red"
"3219",9,"Red"
"3220",10,"Red"
"3221",1,"Black"
"3222",2,"Black"
"3223",3,"Red"
"3224",4,"Red"
"3225",5,"Blue"
"3226",6,"Black"
"3227",7,"Red"
"3228",8,"Black"
"3229",9,"Red"
"3230",10,"Red"
"3231",1,"Blue"
"3232",2,"Blue"
"3233",3,"Blue"
"3234",4,"Black"
"3235",5,"Black"
"3236",6,"Blue"
"3237",7,"Black"
"3238",8,"Black"
"3239",9,"Red"
"3240",10,"Black"
"3241",1,"Blue"
"3242",2,"Red"
"3243",3,"Blue"
"3244",4,"Black"
"3245",5,"Black"
"3246",6,"Black"
"3247",7,"Black"
"3248",8,"Black"
"3249",9,"Blue"
"3250",10,"Blue"
"3251",1,"Black"
"3252",2,"Blue"
"3253",3,"Blue"
"3254",4,"Red"
"3255",5,"Blue"
"3256",6,"Blue"
"3257",7,"Blue"
"3258",8,"Black"
"3259",9,"Blue"
"3260",10,"Black"
"3261",1,"Blue"
"3262",2,"Red"
"3263",3,"Black"
"3264",4,"Red"
"3265",5,"Black"
"3266",6,"Red"
"3267",7,"Red"
"3268",8,"Black"
"3269",9,"Red"
"3270",10,"Red"
"3271",1,"Red"
"3272",2,"Red"
"3273",3,"Black"
"3274",4,"Blue"
"3275",5,"Black"
"3276",6,"Blue"
"3277",7,"Red"
"3278",8,"Black"
"3279",9,"Red"
"3280",10,"Red"
"3281",1,"Red"
"3282",2,"Blue"
"3283",3,"Black"
"3284",4,"Blue"
"3285",5,"Black"
"3286",6,"Red"
"3287",7,"Red"
"3288",8,"Blue"
"3289",9,"Red"
"3290",10,"Black"
"3291",1,"Blue"
"3292",2,"Black"
"3293",3,"Red"
"3294",4,"Black"
"3295",5,"Blue"
"3296",6,"Red"
"3297",7,"Black"
"3298",8,"Blue"
"3299",9,"Blue"
"3300",10,"Blue"
"3301",1,"Blue"
"3302",2,"Black"
"3303",3,"Black"
"3304",4,"Red"
"3305",5,"Blue"
"3306",6,"Black"
"3307",7,"Black"
"3308",8,"Blue"
"3309",9,"Blue"
"3310",10,"Black"
"3311",1,"Black"
"3312",2,"Blue"
"3313",3,"Blue"
"3314",4,"Blue"
"3315",5,"Red"
"3316",6,"Blue"
"3317",7,"Black"
"3318",8,"Blue"
"3319",9,"Blue"
"3320",10,"Red"
"3321",1,"Red"
"3322",2,"Blue"
"3323",3,"Red"
"3324",4,"Blue"
"3325",5,"Red"
"3326",6,"Red"
"3327",7,"Blue"
"3328",8,"Red"
"3329",9,"Black"
"3330",10,"Red"
"3331",1,"Red"
"3332",2,"Red"
"3333",3,"Blue"
"3334",4,"Black"
"3335",5,"Red"
"3336",6,"Blue"
"3337",7,"Black"
"3338",8,"Black"
"3339",9,"Blue"
"3340",10,"Blue"
"3341",1,"Red"
"3342",2,"Blue"
"3343",3,"Black"
"3344",4,"Red"
"3345",5,"Black"
"3346",6,"Red"
"3347",7,"Blue"
"3348",8,"Red"
"3349",9,"Blue"
"3350",10,"Red"
"3351",1,"Black"
"3352",2,"Black"
"3353",3,"Blue"
"3354",4,"Blue"
"3355",5,"Red"
"3356",6,"Blue"
"3357",7,"Black"
"3358",8,"Black"
"3359",9,"Red"
"3360",10,"Red"
"3361",1,"Red"
"3362",2,"Black"
"3363",3,"Black"
"3364",4,"Blue"
"3365",5,"Black"
"3366",6,"Blue"
"3367",7,"Blue"
"3368",8,"Blue"
"3369",9,"Blue"
"3370",10,"Blue"
"3371",1,"Red"
"3372",2,"Blue"
"3373",3,"Blue"
"3374",4,"Blue"
"3375",5,"Blue"
"3376",6,"Black"
"3377",7,"Red"
"3378",8,"Black"
"3379",9,"Red"
"3380",10,"Red"
"3381",1,"Red"
"3382",2,"Red"
"3383",3,"Blue"
"3384",4,"Black"
"3385",5,"Blue"
"3386",6,"Blue"
"3387",7,"Red"
"3388",8,"Red"
"3389",9,"Red"
"3390",10,"Blue"
"3391",1,"Blue"
"3392",2,"Red"
"3393",3,"Blue"
"3394",4,"Black"
"3395",5,"Red"
"3396",6,"Black"
"3397",7,"Red"
"3398",8,"Blue"
"3399",9,"Black"
"3400",10,"Black"
"3401",1,"Red"
"3402",2,"Red"
"3403",3,"Blue"
"3404",4,"Black"
"3405",5,"Black"
"3406",6,"Blue"
"3407",7,"Red"
"3408",8,"Red"
"3409",9,"Blue"
"3410",10,"Black"
"3411",1,"Red"
"3412",2,"Red"
"3413",3,"Red"
"3414",4,"Black"
"3415",5,"Red"
"3416",6,"Black"
"3417",7,"Black"
"3418",8,"Red"
"3419",9,"Blue"
"3420",10,"Red"
"3421",1,"Black"
"3422",2,"Black"
"3423",3,"Black"
"3424",4,"Black"
"3425",5,"Blue"
"3426",6,"Black"
"3427",7,"Black"
"3428",8,"Red"
"3429",9,"Red"
"3430",10,"Red"
"3431",1,"Red"
"3432",2,"Black"
"3433",3,"Blue"
"3434",4,"Black"
"3435",5,"Black"
"3436",6,"Red"
"3437",7,"Black"
"3438",8,"Red"
"3439",9,"Blue"
"3440",10,"Black"
"3441",1,"Black"
"3442",2,"Blue"
"3443",3,"Red"
"3444",4,"Red"
"3445",5,"Red"
"3446",6,"Red"
"3447",7,"Blue"
"3448",8,"Black"
"3449",9,"Black"
"3450",10,"Blue"
"3451",1,"Black"
"3452",2,"Red"
"3453",3,"Black"
"3454",4,"Red"
"3455",5,"Blue"
"3456",6,"Red"
"3457",7,"Red"
"3458",8,"Black"
"3459",9,"Black"
"3460",10,"Red"
"3461",1,"Black"
"3462",2,"Red"
"3463",3,"Blue"
"3464",4,"Black"
"3465",5,"Black"
"3466",6,"Black"
"3467",7,"Black"
"3468",8,"Red"
"3469",9,"Black"
"3470",10,"Red"
"3471",1,"Black"
"3472",2,"Red"
"3473",3,"Black"
"3474",4,"Red"
"3475",5,"Red"
"3476",6,"Blue"
"3477",7,"Red"
"3478",8,"Blue"
"3479",9,"Black"
"3480",10,"Red"
"3481",1,"Black"
"3482",2,"Black"
"3483",3,"Red"
"3484",4,"Red"
"3485",5,"Black"
"3486",6,"Blue"
"3487",7,"Black"
"3488",8,"Red"
"3489",9,"Blue"
"3490",10,"Black"
"3491",1,"Black"
"3492",2,"Red"
"3493",3,"Black"
"3494",4,"Blue"
"3495",5,"Black"
"3496",6,"Black"
"3497",7,"Blue"
"3498",8,"Red"
"3499",9,"Black"
"3500",10,"Black"
"3501",1,"Black"
"3502",2,"Blue"
"3503",3,"Black"
"3504",4,"Red"
"3505",5,"Blue"
"3506",6,"Black"
"3507",7,"Red"
"3508",8,"Black"
"3509",9,"Black"
"3510",10,"Blue"
"3511",1,"Blue"
"3512",2,"Red"
"3513",3,"Black"
"3514",4,"Red"
"3515",5,"Black"
"3516",6,"Black"
"3517",7,"Red"
"3518",8,"Blue"
"3519",9,"Black"
"3520",10,"Blue"
"3521",1,"Red"
"3522",2,"Blue"
"3523",3,"Black"
"3524",4,"Blue"
"3525",5,"Red"
"3526",6,"Black"
"3527",7,"Red"
"3528",8,"Blue"
"3529",9,"Red"
"3530",10,"Black"
"3531",1,"Black"
"3532",2,"Red"
"3533",3,"Blue"
"3534",4,"Black"
"3535",5,"Red"
"3536",6,"Red"
"3537",7,"Black"
"3538",8,"Red"
"3539",9,"Red"
"3540",10,"Red"
"3541",1,"Black"
"3542",2,"Red"
"3543",3,"Black"
"3544",4,"Black"
"3545",5,"Black"
"3546",6,"Black"
"3547",7,"Blue"
"3548",8,"Black"
"3549",9,"Black"
"3550",10,"Blue"
"3551",1,"Red"
"3552",2,"Black"
"3553",3,"Black"
"3554",4,"Blue"
"3555",5,"Black"
"3556",6,"Blue"
"3557",7,"Red"
"3558",8,"Black"
"3559",9,"Black"
"3560",10,"Blue"
"3561",1,"Blue"
"3562",2,"Red"
"3563",3,"Red"
"3564",4,"Black"
"3565",5,"Red"
"3566",6,"Black"
"3567",7,"Blue"
"3568",8,"Red"
"3569",9,"Black"
"3570",10,"Blue"
"3571",1,"Black"
"3572",2,"Red"
"3573",3,"Black"
"3574",4,"Black"
"3575",5,"Black"
"3576",6,"Black"
"3577",7,"Black"
"3578",8,"Red"
"3579",9,"Red"
"3580",10,"Red"
"3581",1,"Red"
"3582",2,"Black"
"3583",3,"Black"
"3584",4,"Red"
"3585",5,"Black"
"3586",6,"Red"
"3587",7,"Black"
"3588",8,"Blue"
"3589",9,"Red"
"3590",10,"Blue"
"3591",1,"Blue"
"3592",2,"Black"
"3593",3,"Black"
"3594",4,"Black"
"3595",5,"Blue"
"3596",6,"Black"
"3597",7,"Blue"
"3598",8,"Red"
"3599",9,"Black"
"3600",10,"Red"
"3601",1,"Black"
"3602",2,"Blue"
"3603",3,"Black"
"3604",4,"Red"
"3605",5,"Black"
"3606",6,"Black"
"3607",7,"Black"
"3608",8,"Red"
"3609",9,"Black"
"3610",10,"Blue"
"3611",1,"Blue"
"3612",2,"Blue"
"3613",3,"Red"
"3614",4,"Blue"
"3615",5,"Red"
"3616",6,"Black"
"3617",7,"Red"
"3618",8,"Red"
"3619",9,"Blue"
"3620",10,"Red"
"3621",1,"Black"
"3622",2,"Black"
"3623",3,"Blue"
"3624",4,"Black"
"3625",5,"Red"
"3626",6,"Blue"
"3627",7,"Red"
"3628",8,"Black"
"3629",9,"Red"
"3630",10,"Blue"
"3631",1,"Red"
"3632",2,"Black"
"3633",3,"Blue"
"3634",4,"Black"
"3635",5,"Black"
"3636",6,"Black"
"3637",7,"Black"
"3638",8,"Black"
"3639",9,"Red"
"3640",10,"Black"
"3641",1,"Red"
"3642",2,"Black"
"3643",3,"Black"
"3644",4,"Red"
"3645",5,"Black"
"3646",6,"Black"
"3647",7,"Black"
"3648",8,"Red"
"3649",9,"Blue"
"3650",10,"Red"
"3651",1,"Blue"
"3652",2,"Black"
"3653",3,"Black"
"3654",4,"Red"
"3655",5,"Red"
"3656",6,"Black"
"3657",7,"Blue"
"3658",8,"Red"
"3659",9,"Red"
"3660",10,"Black"
"3661",1,"Black"
"3662",2,"Red"
"3663",3,"Blue"
"3664",4,"Blue"
"3665",5,"Red"
"3666",6,"Black"
"3667",7,"Red"
"3668",8,"Black"
"3669",9,"Red"
"3670",10,"Blue"
"3671",1,"Black"
"3672",2,"Blue"
"3673",3,"Blue"
"3674",4,"Red"
"3675",5,"Blue"
"3676",6,"Red"
"3677",7,"Black"
"3678",8,"Red"
"3679",9,"Black"
"3680",10,"Red"
"3681",1,"Red"
"3682",2,"Black"
"3683",3,"Blue"
"3684",4,"Red"
"3685",5,"Blue"
"3686",6,"Blue"
"3687",7,"Red"
"3688",8,"Blue"
"3689",9,"Black"
"3690",10,"Blue"
"3691",1,"Blue"
"3692",2,"Blue"
"3693",3,"Red"
"3694",4,"Black"
"3695",5,"Black"
"3696",6,"Black"
"3697",7,"Black"
"3698",8,"Red"
"3699",9,"Black"
"3700",10,"Red"
"3701",1,"Black"
"3702",2,"Red"
"3703",3,"Blue"
"3704",4,"Red"
"3705",5,"Blue"
"3706",6,"Blue"
"3707",7,"Red"
"3708",8,"Black"
"3709",9,"Red"
"3710",10,"Blue"
"3711",1,"Red"
"3712",2,"Blue"
"3713",3,"Black"
"3714",4,"Blue"
"3715",5,"Red"
"3716",6,"Blue"
"3717",7,"Blue"
"3718",8,"Red"
"3719",9,"Black"
"3720",10,"Red"
"3721",1,"Red"
"3722",2,"Red"
"3723",3,"Blue"
"3724",4,"Black"
"3725",5,"Red"
"3726",6,"Blue"
"3727",7,"Blue"
"3728",8,"Red"
"3729",9,"Black"
"3730",10,"Red"
"3731",1,"Black"
"3732",2,"Black"
"3733",3,"Red"
"3734",4,"Black"
"3735",5,"Black"
"3736",6,"Black"
"3737",7,"Red"
"3738",8,"Red"
"3739",9,"Blue"
"3740",10,"Black"
"3741",1,"Blue"
"3742",2,"Red"
"3743",3,"Red"
"3744",4,"Red"
"3745",5,"Black"
"3746",6,"Red"
"3747",7,"Black"
"3748",8,"Black"
"3749",9,"Blue"
"3750",10,"Black"
"3751",1,"Red"
"3752",2,"Black"
"3753",3,"Black"
"3754",4,"Blue"
"3755",5,"Blue"
"3756",6,"Black"
"3757",7,"Red"
"3758",8,"Red"
"3759",9,"Red"
"3760",10,"Blue"
"3761",1,"Red"
"3762",2,"Black"
"3763",3,"Blue"
"3764",4,"Red"
"3765",5,"Red"
"3766",6,"Red"
"3767",7,"Blue"
"3768",8,"Black"
"3769",9,"Black"
"3770",10,"Blue"
"3771",1,"Red"
"3772",2,"Blue"
"3773",3,"Black"
"3774",4,"Black"
"3775",5,"Red"
"3776",6,"Black"
"3777",7,"Blue"
"3778",8,"Blue"
"3779",9,"Blue"
"3780",10,"Black"
"3781",1,"Black"
"3782",2,"Blue"
"3783",3,"Black"
"3784",4,"Black"
"3785",5,"Red"
"3786",6,"Red"
"3787",7,"Blue"
"3788",8,"Black"
"3789",9,"Black"
"3790",10,"Blue"
"3791",1,"Black"
"3792",2,"Blue"
"3793",3,"Black"
"3794",4,"Red"
"3795",5,"Blue"
"3796",6,"Black"
"3797",7,"Black"
"3798",8,"Black"
"3799",9,"Red"
"3800",10,"Blue"
"3801",1,"Blue"
"3802",2,"Black"
"3803",3,"Red"
"3804",4,"Blue"
"3805",5,"Red"
"3806",6,"Blue"
"3807",7,"Red"
"3808",8,"Red"
"3809",9,"Black"
"3810",10,"Black"
"3811",1,"Red"
"3812",2,"Black"
"3813",3,"Black"
"3814",4,"Black"
"3815",5,"Blue"
"3816",6,"Black"
"3817",7,"Black"
"3818",8,"Red"
"3819",9,"Blue"
"3820",10,"Black"
"3821",1,"Blue"
"3822",2,"Red"
"3823",3,"Black"
"3824",4,"Black"
"3825",5,"Red"
"3826",6,"Red"
"3827",7,"Blue"
"3828",8,"Black"
"3829",9,"Black"
"3830",10,"Red"
"3831",1,"Black"
"3832",2,"Red"
"3833",3,"Black"
"3834",4,"Black"
"3835",5,"Black"
"3836",6,"Red"
"3837",7,"Blue"
"3838",8,"Black"
"3839",9,"Red"
"3840",10,"Red"
"3841",1,"Blue"
"3842",2,"Black"
"3843",3,"Red"
"3844",4,"Blue"
"3845",5,"Black"
"3846",6,"Black"
"3847",7,"Black"
"3848",8,"Blue"
"3849",9,"Black"
"3850",10,"Red"
"3851",1,"Red"
"3852",2,"Red"
"3853",3,"Black"
"3854",4,"Black"
"3855",5,"Red"
"3856",6,"Red"
"3857",7,"Blue"
"3858",8,"Black"
"3859",9,"Blue"
"3860",10,"Blue"
"3861",1,"Black"
"3862",2,"Red"
"3863",3,"Black"
"3864",4,"Blue"
"3865",5,"Blue"
"3866",6,"Black"
"3867",7,"Blue"
"3868",8,"Blue"
"3869",9,"Black"
"3870",10,"Black"
"3871",1,"Red"
"3872",2,"Black"
"3873",3,"Black"
"3874",4,"Red"
"3875",5,"Black"
"3876",6,"Red"
"3877",7,"Blue"
"3878",8,"Blue"
"3879",9,"Black"
"3880",10,"Black"
"3881",1,"Black"
"3882",2,"Red"
"3883",3,"Black"
"3884",4,"Red"
"3885",5,"Blue"
"3886",6,"Black"
"3887",7,"Black"
"3888",8,"Red"
"3889",9,"Black"
"3890",10,"Red"
"3891",1,"Black"
"3892",2,"Red"
"3893",3,"Black"
"3894",4,"Red"
"3895",5,"Black"
"3896",6,"Red"
"3897",7,"Red"
"3898",8,"Blue"
"3899",9,"Black"
"3900",10,"Red"
"3901",1,"Blue"
"3902",2,"Black"
"3903",3,"Black"
"3904",4,"Blue"
"3905",5,"Blue"
"3906",6,"Blue"
"3907",7,"Black"
"3908",8,"Blue"
"3909",9,"Red"
"3910",10,"Black"
"3911",1,"Black"
"3912",2,"Blue"
"3913",3,"Blue"
"3914",4,"Blue"
"3915",5,"Blue"
"3916",6,"Red"
"3917",7,"Red"
"3918",8,"Blue"
"3919",9,"Blue"
"3920",10,"Black"
"3921",1,"Blue"
"3922",2,"Red"
"3923",3,"Blue"
"3924",4,"Blue"
"3925",5,"Black"
"3926",6,"Black"
"3927",7,"Blue"
"3928",8,"Black"
"3929",9,"Blue"
"3930",10,"Red"
"3931",1,"Red"
"3932",2,"Blue"
"3933",3,"Blue"
"3934",4,"Black"
"3935",5,"Blue"
"3936",6,"Black"
"3937",7,"Red"
"3938",8,"Red"
"3939",9,"Blue"
"3940",10,"Blue"
"3941",1,"Blue"
"3942",2,"Red"
"3943",3,"Red"
"3944",4,"Black"
"3945",5,"Red"
"3946",6,"Black"
"3947",7,"Red"
"3948",8,"Black"
"3949",9,"Blue"
"3950",10,"Red"
"3951",1,"Black"
"3952",2,"Red"
"3953",3,"Blue"
"3954",4,"Black"
"3955",5,"Blue"
"3956",6,"Red"
"3957",7,"Black"
"3958",8,"Black"
"3959",9,"Black"
"3960",10,"Black"
"3961",1,"Black"
"3962",2,"Blue"
"3963",3,"Red"
"3964",4,"Blue"
"3965",5,"Red"
"3966",6,"Black"
"3967",7,"Black"
"3968",8,"Red"
"3969",9,"Blue"
"3970",10,"Black"
"3971",1,"Blue"
"3972",2,"Blue"
"3973",3,"Black"
"3974",4,"Red"
"3975",5,"Black"
"3976",6,"Red"
"3977",7,"Black"
"3978",8,"Blue"
"3979",9,"Red"
"3980",10,"Red"
"3981",1,"Black"
"3982",2,"Red"
"3983",3,"Blue"
"3984",4,"Black"
"3985",5,"Red"
"3986",6,"Black"
"3987",7,"Red"
"3988",8,"Black"
"3989",9,"Black"
"3990",10,"Blue"
"3991",1,"Black"
"3992",2,"Red"
"3993",3,"Blue"
"3994",4,"Blue"
"3995",5,"Black"
"3996",6,"Black"
"3997",7,"Blue"
"3998",8,"Blue"
"3999",9,"Blue"
"4000",10,"Black"
"4001",1,"Blue"
"4002",2,"Red"
"4003",3,"Black"
"4004",4,"Red"
"4005",5,"Black"
"4006",6,"Blue"
"4007",7,"Black"
"4008",8,"Black"
"4009",9,"Black"
"4010",10,"Red"
"4011",1,"Blue"
"4012",2,"Black"
"4013",3,"Blue"
"4014",4,"Blue"
"4015",5,"Black"
"4016",6,"Blue"
"4017",7,"Black"
"4018",8,"Red"
"4019",9,"Red"
"4020",10,"Blue"
"4021",1,"Black"
"4022",2,"Blue"
"4023",3,"Red"
"4024",4,"Black"
"4025",5,"Blue"
"4026",6,"Black"
"4027",7,"Black"
"4028",8,"Red"
"4029",9,"Blue"
"4030",10,"Blue"
"4031",1,"Red"
"4032",2,"Red"
"4033",3,"Red"
"4034",4,"Red"
"4035",5,"Red"
"4036",6,"Blue"
"4037",7,"Blue"
"4038",8,"Black"
"4039",9,"Blue"
"4040",10,"Blue"
"4041",1,"Blue"
"4042",2,"Black"
"4043",3,"Black"
"4044",4,"Black"
"4045",5,"Black"
"4046",6,"Blue"
"4047",7,"Red"
"4048",8,"Blue"
"4049",9,"Red"
"4050",10,"Blue"
"4051",1,"Red"
"4052",2,"Black"
"4053",3,"Red"
"4054",4,"Red"
"4055",5,"Red"
"4056",6,"Black"
"4057",7,"Red"
"4058",8,"Black"
"4059",9,"Blue"
"4060",10,"Blue"
"4061",1,"Blue"
"4062",2,"Red"
"4063",3,"Black"
"4064",4,"Black"
"4065",5,"Black"
"4066",6,"Black"
"4067",7,"Black"
"4068",8,"Black"
"4069",9,"Red"
"4070",10,"Red"
"4071",1,"Blue"
"4072",2,"Red"
"4073",3,"Black"
"4074",4,"Black"
"4075",5,"Red"
"4076",6,"Red"
"4077",7,"Red"
"4078",8,"Blue"
"4079",9,"Red"
"4080",10,"Red"
"4081",1,"Black"
"4082",2,"Blue"
"4083",3,"Black"
"4084",4,"Red"
"4085",5,"Black"
"4086",6,"Red"
"4087",7,"Black"
"4088",8,"Black"
"4089",9,"Black"
"4090",10,"Black"
"4091",1,"Black"
"4092",2,"Black"
"4093",3,"Black"
"4094",4,"Black"
"4095",5,"Black"
"4096",6,"Blue"
"4097",7,"Black"
"4098",8,"Red"
"4099",9,"Blue"
"4100",10,"Blue"
"4101",1,"Red"
"4102",2,"Black"
"4103",3,"Red"
"4104",4,"Blue"
"4105",5,"Black"
"4106",6,"Black"
"4107",7,"Blue"
"4108",8,"Red"
"4109",9,"Red"
"4110",10,"Black"
"4111",1,"Black"
"4112",2,"Blue"
"4113",3,"Red"
"4114",4,"Black"
"4115",5,"Black"
"4116",6,"Black"
"4117",7,"Red"
"4118",8,"Black"
"4119",9,"Red"
"4120",10,"Blue"
"4121",1,"Black"
"4122",2,"Black"
"4123",3,"Red"
"4124",4,"Blue"
"4125",5,"Red"
"4126",6,"Blue"
"4127",7,"Red"
"4128",8,"Red"
"4129",9,"Black"
"4130",10,"Blue"
"4131",1,"Blue"
"4132",2,"Black"
"4133",3,"Red"
"4134",4,"Red"
"4135",5,"Blue"
"4136",6,"Red"
"4137",7,"Black"
"4138",8,"Blue"
"4139",9,"Blue"
"4140",10,"Black"
"4141",1,"Black"
"4142",2,"Black"
"4143",3,"Black"
"4144",4,"Red"
"4145",5,"Blue"
"4146",6,"Black"
"4147",7,"Red"
"4148",8,"Blue"
"4149",9,"Blue"
"4150",10,"Blue"
"4151",1,"Red"
"4152",2,"Blue"
"4153",3,"Black"
"4154",4,"Blue"
"4155",5,"Red"
"4156",6,"Black"
"4157",7,"Red"
"4158",8,"Red"
"4159",9,"Red"
"4160",10,"Black"
"4161",1,"Blue"
"4162",2,"Red"
"4163",3,"Red"
"4164",4,"Blue"
"4165",5,"Black"
"4166",6,"Red"
"4167",7,"Black"
"4168",8,"Black"
"4169",9,"Black"
"4170",10,"Black"
"4171",1,"Blue"
"4172",2,"Red"
"4173",3,"Black"
"4174",4,"Red"
"4175",5,"Blue"
"4176",6,"Blue"
"4177",7,"Blue"
"4178",8,"Blue"
"4179",9,"Red"
"4180",10,"Red"
"4181",1,"Red"
"4182",2,"Blue"
"4183",3,"Red"
"4184",4,"Red"
"4185",5,"Black"
"4186",6,"Red"
"4187",7,"Red"
"4188",8,"Blue"
"4189",9,"Blue"
"4190",10,"Red"
"4191",1,"Black"
"4192",2,"Red"
"4193",3,"Blue"
"4194",4,"Red"
"4195",5,"Black"
"4196",6,"Blue"
"4197",7,"Black"
"4198",8,"Black"
"4199",9,"Black"
"4200",10,"Blue"
"4201",1,"Black"
"4202",2,"Black"
"4203",3,"Red"
"4204",4,"Red"
"4205",5,"Blue"
"4206",6,"Black"
"4207",7,"Black"
"4208",8,"Red"
"4209",9,"Black"
"4210",10,"Red"
"4211",1,"Black"
"4212",2,"Red"
"4213",3,"Blue"
"4214",4,"Blue"
"4215",5,"Red"
"4216",6,"Black"
"4217",7,"Black"
"4218",8,"Black"
"4219",9,"Black"
"4220",10,"Black"
"4221",1,"Blue"
"4222",2,"Black"
"4223",3,"Black"
"4224",4,"Black"
"4225",5,"Blue"
"4226",6,"Red"
"4227",7,"Blue"
"4228",8,"Black"
"4229",9,"Black"
"4230",10,"Red"
"4231",1,"Black"
"4232",2,"Black"
"4233",3,"Black"
"4234",4,"Red"
"4235",5,"Black"
"4236",6,"Black"
"4237",7,"Blue"
"4238",8,"Red"
"4239",9,"Black"
"4240",10,"Black"
"4241",1,"Blue"
"4242",2,"Black"
"4243",3,"Black"
"4244",4,"Black"
"4245",5,"Red"
"4246",6,"Black"
"4247",7,"Blue"
"4248",8,"Red"
"4249",9,"Black"
"4250",10,"Red"
"4251",1,"Black"
"4252",2,"Blue"
"4253",3,"Red"
"4254",4,"Black"
"4255",5,"Red"
"4256",6,"Blue"
"4257",7,"Blue"
"4258",8,"Blue"
"4259",9,"Blue"
"4260",10,"Blue"
"4261",1,"Black"
"4262",2,"Red"
"4263",3,"Blue"
"4264",4,"Blue"
"4265",5,"Black"
"4266",6,"Red"
"4267",7,"Blue"
"4268",8,"Red"
"4269",9,"Black"
"4270",10,"Red"
"4271",1,"Blue"
"4272",2,"Red"
"4273",3,"Black"
"4274",4,"Red"
"4275",5,"Blue"
"4276",6,"Red"
"4277",7,"Red"
"4278",8,"Black"
"4279",9,"Red"
"4280",10,"Blue"
"4281",1,"Black"
"4282",2,"Red"
"4283",3,"Black"
"4284",4,"Black"
"4285",5,"Black"
"4286",6,"Red"
"4287",7,"Black"
"4288",8,"Blue"
"4289",9,"Red"
"4290",10,"Black"
"4291",1,"Red"
"4292",2,"Blue"
"4293",3,"Blue"
"4294",4,"Red"
"4295",5,"Red"
"4296",6,"Blue"
"4297",7,"Red"
"4298",8,"Blue"
"4299",9,"Red"
"4300",10,"Red"
"4301",1,"Red"
"4302",2,"Blue"
"4303",3,"Black"
"4304",4,"Black"
"4305",5,"Black"
"4306",6,"Blue"
"4307",7,"Red"
"4308",8,"Red"
"4309",9,"Red"
"4310",10,"Blue"
"4311",1,"Red"
"4312",2,"Red"
"4313",3,"Blue"
"4314",4,"Red"
"4315",5,"Black"
"4316",6,"Black"
"4317",7,"Red"
"4318",8,"Black"
"4319",9,"Red"
"4320",10,"Red"
"4321",1,"Red"
"4322",2,"Black"
"4323",3,"Black"
"4324",4,"Red"
"4325",5,"Blue"
"4326",6,"Black"
"4327",7,"Blue"
"4328",8,"Blue"
"4329",9,"Blue"
"4330",10,"Red"
"4331",1,"Blue"
"4332",2,"Black"
"4333",3,"Black"
