country,treatment,categorynum,motive_selfimage,motive_harm,motive_detection,motive_reputation,contact_prob_own,reward,reward_prob,reward_USD,exp_reward_USD,socialdesirability,empathy_score,protectedvalues,owner_income,contact_prob_other,lost_wallet,lost_phone,lost_keys,found_wallet,found_phone,found_keys,appro_cheattaxes,appro_keepwallet,appro_claimbenefits,appro_parkdamage,nomoney,midmoney,nokey,highmoney,countryFE,money_in_wallet,money_in_wallet_int,RESTRICTED_SAMPLE
"USA",4,4,0,5,0,0,0,5,0,5,0,3,1.4285715,4.25,2,10,0,0,0,1,0,1,2,-2,1,-1,0,0,0,1,3,92.54000000000001,0,0
"USA",1,2,10,8,5,7,100,5,0,5,0,3.6666667,2.1428571,5.25,0,80,0,0,0,0,0,1,-2,-2,-2,-2,0,1,0,0,3,14,0,0
"USA",3,1,9,10,10,5,100,10,0,10,0,1.6666666,1.2857143,5.25,2,10,0,0,0,1,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",3,5,0,5,0,0,50,20,.2,20,4,4,1.7142857,3.5,0,50,1,0,1,1,0,0,-2,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",4,5,7,10,2,3,100,1,0,1,0,3.5,1.4285715,5.75,2,90,0,0,0,0,1,0,1,-2,-1,-1,0,0,0,1,3,80,0,0
"USA",3,2,4,7,3,5,100,10,.2,10,2,2,1.8571428,4,1,70,0,0,0,1,1,0,1,-2,-1,-1,1,0,0,0,3,0,1,1
"USA",2,1,10,9,10,8,100,20,1,20,20,2,1.5714285,2.25,0,60.000004,0,0,0,0,0,0,-2,-2,-2,-1,0,0,1,0,3,13.5,1,1
"USA",4,2,10,10,10,0,100,20,.1,20,2,3.1666667,1.7142857,4.5,3,0,0,0,0,0,0,0,2,1,2,2,0,0,0,1,3,94,1,1
"USA",3,3,5,9,1,9,100,5,.1,5,.5,1.5,2.2857144,5.5,1,90,0,0,1,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",3,4,10,9,10,10,100,20,0,20,0,4.1666665,2.1428571,5.75,2,70,0,0,0,0,0,0,-2,-2,1,-1,1,0,0,0,3,0,1,1
"USA",3,5,0,7,7,5,100,0,0,0,0,3.5,2,3.25,0,20,1,0,1,0,0,0,-1,1,-2,-1,1,0,0,0,3,0,1,1
"USA",4,5,8,9,1,6,100,10,.2,10,2,1.8333334,1.7142857,3.5,1,50,1,1,1,0,1,0,2,-2,-1,-1,0,0,0,1,3,94.45,1,1
"USA",2,2,0,6,0,0,100,5,0,5,0,3.1666667,2,6,0,70,0,0,1,0,0,0,1,-2,-1,1,0,0,1,0,3,13.45,1,1
"USA",3,4,5,8,1,0,100,5,.1,5,.5,3.8333333,2.2857144,6,-1,80,0,1,0,0,0,1,1,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",2,1,10,5,0,6,100,5,0,5,0,3,2.4285715,5.25,0,100,0,0,0,0,1,0,-2,-2,-2,-2,0,0,1,0,3,13,1,1
"USA",2,4,10,8,0,0,100,5,.2,5,1,4.1666665,2.2857144,6,2,50,0,1,0,1,0,1,-1,-1,-1,-1,0,0,1,0,3,13.45,1,1
"USA",4,3,0,6,10,10,100,5,0,5,0,4.1666665,1.7142857,5.75,3,50,1,0,0,1,0,0,1,-2,-2,-2,0,0,0,1,3,94.45,1,1
"USA",3,5,6,8,2,5,80,25,.1,25,2.5,2.5,1.7142857,3.75,1,80,0,0,0,0,0,1,-1,-1,-1,-2,1,0,0,0,3,0,1,1
"USA",2,2,3,7,4,7,100,5,.1,5,.5,2,2,3.75,-1,60.000004,0,1,1,0,0,0,-2,2,-2,-2,0,0,1,0,3,13,1,1
"USA",3,1,0,5,0,5,100,25,0,25,0,3.5,1.4285715,6,0,80,0,1,1,1,1,1,-1,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",1,3,10,5,10,10,100,0,0,0,0,2.5,2.2857144,1,0,70,0,0,0,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",3,4,5,6,0,0,100,5,.40000001,5,2,3.6666667,2.1428571,4.25,0,70,0,0,0,0,1,1,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",3,2,3,2,3,3,90,10,.1,10,1,2,1.8571428,2.5,-1,70,0,0,1,1,0,1,-1,-2,-1,-1,1,0,0,0,3,0,1,1
"USA",3,5,5,8,1,7,100,5,.2,5,1,3.6666667,2,5.5,0,30.000002,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",2,1,10,5,2,5,100,2,.1,2,.2,2.6666667,2.1428571,3.5,1,80,1,1,1,1,0,0,-2,-2,-2,-2,0,0,1,0,3,13,1,1
"USA",3,1,1,7,5,6,90,12,.2,12,2.4000001,3.1666667,2,3.5,0,70,1,1,1,0,0,0,-2,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",3,1,0,2,0,0,80,10,0,10,0,2.8333333,2,3,1,80,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",1,3,10,7,0,8,100,20,.2,20,4,3.6666667,2.1428571,4.75,3,70,0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,3,13,1,1
"USA",3,2,6,7,2,6,70,5,.2,5,1,2.3333333,2.1428571,3.25,1,90,1,0,1,1,0,1,-1,-2,-1,-2,1,0,0,0,3,0,1,1
"USA",4,5,10,10,1,10,100,10,0,10,0,3.5,2.2857144,4,1,90,0,0,1,0,0,0,-2,-2,-2,-2,0,0,0,1,3,94.42,1,1
"USA",3,3,0,9,10,4,100,5,.1,5,.5,2.3333333,2,3,0,50,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",1,5,10,9,4,10,100,0,0,0,0,2.5,2.1428571,3.5,1,80,0,0,0,0,0,0,-1,-2,-2,-2,0,1,0,0,3,5,0,0
"USA",4,2,10,10,8,9,90,25,.40000001,25,10,2,2.5714285,2.75,1,80,0,0,0,0,0,1,2,1,1,2,0,0,0,1,3,94.78,1,1
"USA",3,1,7,8,4,7,100,5,0,5,0,2.5,2,3.75,0,70,1,0,0,0,0,0,-1,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",2,2,2,5,1,2,90,5,.1,5,.5,2.5,1.5714285,3.25,0,90,0,0,0,0,0,0,-2,-2,-2,-1,0,0,1,0,3,11,0,0
"USA",1,2,10,10,10,10,100,5,1,5,5,4.6666665,2.2857144,6,0,0,0,0,0,1,0,0,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",4,1,10,10,10,10,100,10,0,10,0,4,2.2857144,5.75,0,50,1,0,1,1,0,0,-2,-2,-2,-2,0,0,0,1,3,97,0,0
"USA",2,3,0,8,5,10,100,5,0,5,0,2.8333333,2,2.75,0,50,0,0,0,0,0,0,-2,1,-2,-2,0,0,1,0,3,13.45,1,1
"USA",3,4,8,9,0,10,100,0,0,0,0,2,1.7142857,5,0,100,1,0,1,1,1,1,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",1,2,10,8,5,0,100,10,0,10,0,2.5,2.2857144,5.5,0,90,0,0,0,1,1,1,-1,-2,-2,-2,0,1,0,0,3,13,1,1
"USA",1,1,8,7,6,8,90,2,.2,2,.40000001,2.8333333,2.1428571,3.75,0,50,1,0,1,1,0,0,-1,-2,-2,-1,0,1,0,0,3,13.38,1,1
"USA",2,5,2,3,4,1,10,5,.1,5,.5,1.6666666,1.5714285,2.75,-1,10,0,0,0,0,0,1,-1,-2,-2,-1,0,0,1,0,3,13.25,1,1
"USA",3,4,0,3,5,5,100,0,0,0,0,1.8333334,1.7142857,4,0,50,1,1,1,1,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",1,1,10,7,0,5,100,10,0,10,0,2.3333333,1.7142857,4.5,3,80,0,0,0,0,1,1,1,-2,-1,-2,0,1,0,0,3,13.85,1,1
"USA",2,5,10,10,10,10,100,3,0,3,0,4,1.7142857,4.5,0,80,0,0,0,1,0,0,-2,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",2,5,7,2,2,4,100,5,.1,5,.5,1.8333334,2.2857144,3,1,50,0,0,1,1,1,0,-1,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",4,5,10,7,6,10,100,5,.2,5,1,3.1666667,2.1428571,5.25,2,80,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,1,3,94.25,1,1
"USA",1,5,10,10,7,3,100,5,0,5,0,2,2.2857144,6,1,90,1,0,0,0,1,0,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",4,4,9,10,0,6,90,27.5,.30000001,27.5,8.25,1.8333334,2.7142856,3.25,0,60.000004,1,0,1,1,0,1,-2,-2,-2,-2,0,0,0,1,3,93,0,0
"USA",3,2,10,8,0,10,100,5,0,5,0,2.6666667,1.5714285,4.75,2,70,0,0,0,1,0,0,2,-1,1,1,1,0,0,0,3,0,1,1
"USA",2,2,4,4,5,3,100,1,.1,1,.1,3.3333333,2,4.75,0,30.000002,0,0,0,0,0,0,-1,-2,-2,-1,0,0,1,0,3,12,0,0
"USA",2,5,10,5,5,5,50,10,.1,10,1,2.1666667,2.4285715,3.25,1,100,1,0,0,1,0,1,-1,-2,-1,-1,0,0,1,0,3,13.45,1,1
"USA",1,2,1,9,9,8,100,1,0,1,0,3,2.2857144,5,2,90,1,0,1,0,0,1,1,-2,1,-1,0,1,0,0,3,13.45,1,1
"USA",1,5,9,8,0,0,100,10,.1,10,1,4,2,5,0,50,1,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,3,13.45,1,1
"USA",4,3,10,8,5,9,100,10,.1,10,1,3.3333333,2.2857144,3,1,0,0,0,1,0,0,0,-1,-1,-2,-2,0,0,0,1,3,94,1,1
"USA",4,2,10,10,10,10,100,5,.1,5,.5,1.8333334,2,3.25,1,70,0,0,0,0,0,0,-1,-2,-2,-2,0,0,0,1,3,94.95,1,1
"USA",1,4,9,7,0,5,100,0,0,0,0,4.3333335,1.8571428,6,0,100,1,0,1,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13.47,1,1
"USA",1,5,8,10,7,9,100,5,.30000001,5,1.5,2.8333333,2.7142856,3,1,70,1,1,1,1,1,1,-2,-2,-2,-1,0,1,0,0,3,13.37,1,1
"USA",2,3,2,8,6,6,50,10,.40000001,10,4,2.3333333,2.7142856,2.75,-1,40,1,1,1,0,0,1,1,1,-1,1,0,0,1,0,3,13,1,1
"USA",2,4,10,6,3,5,100,3,0,3,0,3,2.4285715,5.5,-1,60.000004,0,0,0,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13,1,1
"USA",4,3,7,7,4,5,80,20,.5,20,10,2.5,2,3,2,50,0,0,0,0,0,0,-1,-2,-1,-2,0,0,0,1,3,94,1,1
"USA",3,1,9,7,0,8,100,6,0,6,0,1.8333334,2.1428571,5.5,1,90,1,1,1,1,0,0,-1,-1,-1,-1,1,0,0,0,3,0,1,1
"USA",3,1,1,7,1,6,100,20,.1,20,2,2.3333333,2.1428571,5.25,1,70,1,0,1,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",3,1,10,9,6,7,100,50,.5,50,25,2.5,1.7142857,5.25,1,60.000004,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",3,2,10,10,10,10,100,10,0,10,0,4.3333335,2.2857144,6,2,0,0,0,1,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",4,1,10,10,5,10,100,5,0,5,0,2.8333333,2.2857144,4.25,2,30.000002,0,0,0,0,0,0,2,-1,-1,1,0,0,0,1,3,94.45,1,1
"USA",2,4,8,4,5,6,100,1,0,1,0,2.3333333,2,3.75,0,70,0,0,0,0,0,0,-1,-2,-1,-1,0,0,1,0,3,13.45,1,1
"USA",2,5,10,2,8,10,100,5,0,5,0,1.3333334,1.5714285,3.25,0,70,0,0,0,0,0,0,-1,-2,-2,-2,0,0,1,0,3,13,1,1
"USA",4,3,10,7,0,0,100,29.9,.30000001,29.9,8.9700003,2.6666667,2.1428571,1.25,1,50,1,0,1,0,0,0,-1,-2,-2,-2,0,0,0,1,3,94,1,1
"USA",4,3,10,10,8,9,100,5,0,5,0,3.3333333,2.2857144,4.5,0,80,0,1,1,1,1,0,-2,-2,-2,-1,0,0,0,1,3,94.43000000000001,1,1
"USA",2,4,10,9,6,9,100,10,.5,10,5,3,2,4.5,0,50,0,1,1,0,1,0,-2,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",3,2,0,9,0,6,80,10,0,10,0,2.1666667,2.1428571,4.25,1,40,1,1,1,0,0,1,-1,-1,1,-1,1,0,0,0,3,0,1,1
"USA",4,4,10,10,5,10,100,5,.1,5,.5,4.6666665,2.2857144,6,1,50,0,0,0,0,0,0,-2,-2,-2,-1,0,0,0,1,3,94.75,1,1
"USA",2,1,10,6,5,5,100,0,0,0,0,2.3333333,2.2857144,4.25,2,50,0,1,0,0,0,0,-1,-2,-1,-1,0,0,1,0,3,13.45,1,1
"USA",1,3,10,5,10,10,100,5,.1,5,.5,4.5,1.7142857,4.75,2,80,0,0,0,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13.25,1,1
"USA",2,4,10,3,2,10,100,5,0,5,0,2.5,2.1428571,4.25,-2,100,0,0,0,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",3,1,4,4,0,2,80,0,.5,0,0,3.6666667,2.1428571,2.75,0,50,1,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",2,4,5,4,2,4,70,0,0,0,0,2.5,1.8571428,3.25,0,50,1,0,1,1,1,1,-1,1,-1,1,0,0,1,0,3,13.45,1,1
"USA",2,5,10,3,0,1,100,1,0,1,0,2.6666667,2.1428571,5.25,-1,70,1,0,0,0,0,0,1,-1,-2,-1,0,0,1,0,3,13.46,1,1
"USA",4,3,9,7,7,8,80,10,.2,10,2,2.6666667,2.1428571,4,1,60.000004,1,0,1,0,0,1,-2,-2,-2,-2,0,0,0,1,3,94.45,1,1
"USA",4,2,10,10,5,10,100,10,.1,10,1,2.6666667,2.1428571,4,1,80,0,0,0,1,0,0,-2,-2,-2,-2,0,0,0,1,3,94,1,1
"USA",4,2,10,7,8,9,100,5,.2,5,1,3.1666667,2.1428571,4.5,2,80,1,0,0,1,1,1,-2,-2,-2,-1,0,0,0,1,3,94,1,1
"USA",4,1,8,9,7,7,100,35,.60000002,35,21,2.6666667,2.4285715,3.25,2,70,0,1,1,1,0,1,-2,1,1,-1,0,0,0,1,3,94.45,1,1
"USA",1,3,10,4,10,10,100,20,0,20,0,4.1666665,2.5714285,3,1,80,0,0,0,0,1,0,-2,-2,-2,-2,0,1,0,0,3,13.25,1,1
"USA",1,3,10,8,5,10,100,10,0,10,0,3,2.2857144,5.5,1,40,1,1,1,0,0,0,1,1,1,1,0,1,0,0,3,13.35,1,1
"USA",2,3,10,10,5,10,100,2,0,2,0,3.3333333,1.8571428,4.5,1,80,1,0,1,1,0,0,-2,-2,-2,-2,0,0,1,0,3,13,1,1
"USA",3,4,5,8,1,8,100,10,.5,10,5,3.6666667,2.1428571,4,0,80,1,0,1,0,1,1,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",4,2,10,9,5,10,100,10,.40000001,10,4,1.6666666,1.8571428,5.25,1,60.000004,0,0,0,0,0,0,-1,-2,-2,-2,0,0,0,1,3,94.45,1,1
"USA",2,5,10,6,2,8,100,2,0,2,0,2,1.8571428,2.5,-1,80,0,0,0,0,0,0,-1,-2,-2,-2,0,0,1,0,3,13.23,1,1
"USA",2,3,9,5,2,0,100,0,0,0,0,2.3333333,1.7142857,3.75,0,60.000004,0,0,0,1,0,0,2,-1,1,2,0,0,1,0,3,13.45,1,1
"USA",2,4,10,2,0,4,100,1,0,1,0,3,2,4.75,-1,70,0,0,1,0,0,0,1,-1,1,-1,0,0,1,0,3,13.45,1,1
"USA",1,3,0,10,0,1,90,5,0,5,0,3.6666667,2.2857144,2.5,0,50,0,0,0,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",1,4,10,7,0,10,100,1,0,1,0,.83333331,1.4285715,1.75,2,0,0,0,1,0,1,0,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",2,3,0,1,0,0,100,6,.5,6,3,2.5,2.2857144,2.5,0,70,1,0,0,1,1,0,-2,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",2,3,10,7,6,5,100,0,0,0,0,2.1666667,1.8571428,4,1,70,0,0,0,0,1,0,-1,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",2,2,9,5,7,9,80,3,0,3,0,1.1666666,1.7142857,5.25,1,80,1,0,0,0,0,1,-2,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",3,2,0,10,0,3,100,10,.2,10,2,2,2,4.75,2,50,0,0,0,0,0,0,-1,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",1,5,8,5,1,7,100,5,.1,5,.5,2.1666667,2,3,1,80,1,0,1,1,0,1,-1,-2,-2,-2,0,1,0,0,3,13.75,1,1
"USA",4,1,10,5,2,0,50,10,0,10,0,1.8333334,2,2.5,0,70,1,0,1,1,0,1,-2,-2,-2,-1,0,0,0,1,3,94.45,1,1
"USA",1,4,8,2,0,6,80,1,0,1,0,2.6666667,2.4285715,4.25,1,30.000002,1,0,1,0,0,0,-1,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",3,2,8,7,5,10,100,20,0,20,0,3.1666667,2.2857144,5,0,90,0,0,0,1,0,0,-1,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",4,3,10,10,6,10,100,0,0,0,0,3.6666667,2.1428571,5.25,0,80,1,1,1,1,1,1,-1,-2,-2,-1,0,0,0,1,3,94,1,1
"USA",1,1,9,10,9,9,100,5,.69999999,5,3.5,3.1666667,1.7142857,3.5,3,60.000004,0,1,1,0,0,1,-2,-2,1,-2,0,1,0,0,3,13,1,1
"USA",2,3,10,4,0,5,100,2,0,2,0,2.5,2.4285715,3.75,0,100,0,0,0,0,0,0,-1,-2,-2,-2,0,0,1,0,3,13.83,1,1
"USA",3,2,8,7,7,5,80,25,.5,25,12.5,3.5,2.2857144,4,2,70,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",3,5,8,10,5,5,90,20,0,20,0,3.5,2.1428571,5.5,2,90,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",3,1,0,5,0,5,100,10,0,10,0,3.3333333,2.1428571,2.5,0,60.000004,0,0,0,0,0,0,-2,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",4,4,10,8,8,5,100,10,.1,10,1,2.6666667,2,4.5,-1,40,0,1,0,0,0,0,-1,-2,-2,-1,0,0,0,1,3,94.45,1,1
"USA",3,1,3,5,0,5,90,5,.1,5,.5,2.3333333,2,2.5,1,80,0,0,0,0,0,1,-1,-1,-1,-1,1,0,0,0,3,0,1,1
"USA",3,5,9,10,9,10,100,25,.40000001,25,10,2.5,2.4285715,5.25,2,50,1,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",4,2,10,9,6,7,90,10,.2,10,2,3,2.2857144,4.75,2,30.000002,0,1,1,0,1,0,2,-1,2,1,0,0,0,1,3,94,1,1
"USA",2,4,0,3,8,8,100,5,.1,5,.5,1.8333334,2.4285715,3.25,1,50,1,1,1,0,1,0,-2,-2,-2,-2,0,0,1,0,3,13.53,1,1
"USA",4,3,10,9,3,10,100,20,.89999998,20,18,3.5,2,5,-1,90,1,1,1,1,0,0,-2,-2,-2,-2,0,0,0,1,3,94.45,1,1
"USA",3,2,8,10,8,10,100,50,.60000002,50,30.000002,3.8333333,1.8571428,5.5,2,50,0,0,1,1,0,0,-2,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",2,1,9,4,5,7,100,5,.1,5,.5,1.3333334,2,2.75,0,70,0,0,0,0,0,0,-1,-2,-1,-1,0,0,1,0,3,13.45,1,1
"USA",1,2,10,3,0,0,100,5,0,5,0,3,3,5.5,0,50,0,0,0,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13.52,1,1
"USA",2,3,9,2,3,6,90,1,0,1,0,2.8333333,2.1428571,3.5,1,30.000002,0,0,1,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.11,1,1
"USA",1,3,10,7,4,10,100,5,.5,5,2.5,2.5,2.2857144,5,0,50,0,0,1,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13.75,1,1
"USA",4,4,7,7,8,8,90,20,.1,20,2,2.1666667,1.7142857,4.5,3,80,0,0,1,0,1,1,-2,-2,-2,-2,0,0,0,1,3,94,1,1
"USA",1,1,10,10,10,10,100,5,0,5,0,4.3333335,2.1428571,6,3,30.000002,1,0,0,0,0,1,-1,-2,-1,-1,0,1,0,0,3,13.45,1,1
"USA",1,4,5,7,5,6,40,5,.1,5,.5,.33333334,1.7142857,3.25,0,40,0,0,0,0,0,0,-2,-2,-2,-2,0,1,0,0,3,13,1,1
"USA",2,3,10,8,2,8,100,1,0,1,0,2.8333333,2.1428571,4.25,1,70,1,1,1,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",1,1,10,10,10,10,100,10,0,10,0,3.1666667,2.2857144,3.25,1,90,0,1,1,0,0,1,-1,-1,1,-1,0,1,0,0,3,13.49,1,1
"USA",3,3,0,8,3,7,50,20,0,20,0,3,2.1428571,5,0,30.000002,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",3,1,2,10,0,6,100,10,.60000002,10,6,1.5,1.2857143,5.5,2,80,1,0,1,1,1,1,-1,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",1,3,10,10,6,5,100,5,.1,5,.5,2.8333333,2.1428571,3.75,0,50,1,0,1,1,1,1,-2,-2,-2,-2,0,1,0,0,3,13.47,1,1
"USA",3,1,10,9,10,10,100,20,.5,20,10,2,2,4.5,3,50,0,0,1,1,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",4,4,10,6,8,8,100,20,.30000001,20,6,4.1666665,1.7142857,3,2,80,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,1,3,9434,0,0
"USA",4,4,10,10,8,0,100,5,0,5,0,4,2,5.75,2,70,1,1,1,0,0,0,-2,-2,-2,-2,0,0,0,1,3,94.45,1,1
"USA",4,3,10,10,5,10,100,0,0,0,0,3.8333333,2,5,3,50,0,0,0,1,1,1,-1,-1,-2,-1,0,0,0,1,3,110,0,0
"USA",2,1,10,1,0,0,100,20,0,20,0,3.6666667,2.7142856,5.25,1,80,0,0,0,0,0,0,-1,-2,-2,-2,0,0,1,0,3,13.45,1,1
"USA",3,2,10,10,5,10,100,10,0,10,0,4.1666665,2.2857144,5.5,-1,100,1,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",3,2,8,8,2,8,100,10,.1,10,1,3.1666667,2.1428571,4.5,2,90,1,0,1,1,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",4,3,0,10,4,9,100,10,.1,10,1,3.5,2.5714285,3,2,30.000002,1,0,1,0,0,0,-2,-2,-2,-1,0,0,0,1,3,95,0,0
"USA",4,1,0,7,0,10,100,10,0,10,0,2.6666667,2.7142856,4.75,1,80,1,0,1,1,1,0,-2,-2,-2,-2,0,0,0,1,3,95.47,0,0
"USA",3,1,9,3,1,6,100,50,.1,50,5,1.8333334,2.1428571,2.75,1,60.000004,0,0,1,0,1,0,-1,-2,-2,-1,1,0,0,0,3,0,1,1
"USA",2,1,9,5,5,5,100,5,.1,5,.5,2.3333333,2,4.25,0,50,0,0,0,0,0,1,-1,-2,-2,-1,0,0,1,0,3,13,1,1
"USA",4,5,10,10,6,8,100,20,.2,20,4,2.8333333,2.4285715,4.5,0,60.000004,1,0,1,1,1,0,-1,-1,-1,-1,0,0,0,1,3,94.95,1,1
"USA",1,3,10,6,7,10,100,3,.1,3,.30000001,1.5,1.7142857,3.75,0,40,1,0,1,1,1,0,-2,-2,-2,-1,0,1,0,0,3,13.46,1,1
"USA",4,5,9,10,1,5,100,10,0,10,0,2.1666667,1.7142857,3.25,3,100,1,1,1,0,1,1,-1,-2,-2,-1,0,0,0,1,3,94,1,1
"USA",3,2,0,4,0,0,90,20,0,20,0,2,1.5714285,5,0,70,0,0,0,0,0,0,1,-2,1,1,1,0,0,0,3,0,1,1
"USA",2,1,10,9,8,8,100,1,0,1,0,2.8333333,2.4285715,3.25,-2,90,0,0,0,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.78,1,1
"USA",2,3,10,1,3,10,100,10,0,10,0,2.3333333,2,6,1,50,0,1,1,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.49,1,1
"USA",4,3,10,10,10,4,100,15,.2,15,3,3.5,2,3,3,0,0,0,1,0,0,0,-2,-2,-2,-2,0,0,0,1,3,94.45,1,1
"USA",3,2,0,10,0,0,100,0,0,0,0,2.5,2,3.5,1,90,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0,3,0,1,1
"USA",1,2,0,8,6,8,100,1,0,1,0,2.6666667,2.1428571,4.75,0,50,1,0,1,0,0,0,-2,-2,-2,-1,0,1,0,0,3,13.45,1,1
"USA",1,4,10,5,8,8,100,0,0,0,0,3,2.2857144,3.75,0,100,1,0,1,0,0,0,2,-2,-2,-1,0,1,0,0,3,13.52,1,1
"USA",2,1,10,5,0,0,100,5,0,5,0,3.1666667,2.2857144,6,0,100,0,0,0,0,0,0,-2,-2,-2,-2,0,0,1,0,3,13.35,1,1
"USA",4,2,0,6,5,7,100,5,.1,5,.5,1.1666666,1.8571428,4.5,1,30.000002,1,0,1,0,1,0,-2,-2,-2,-2,0,0,0,1,3,95.45,0,0
"USA",4,3,5,7,1,8,90,20,.69999999,20,14,2.5,1.8571428,4.25,0,30.000002,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,1,3,94.45,1,1
"USA",1,5,10,10,0,3,100,0,0,0,0,3.3333333,2.8571429,4.5,0,50,1,0,1,1,0,1,1,-1,1,-1,0,1,0,0,3,13.45,1,1
"USA",1,2,10,7,5,0,100,5,0,5,0,3.5,2.1428571,2.75,3,100,1,0,1,1,0,1,-1,-2,-2,-2,0,1,0,0,3,22,0,0
"USA",1,2,7,5,5,3,100,5,.2,5,1,2.1666667,2,4.25,0,70,1,0,0,1,1,0,-1,-1,-1,-1,0,1,0,0,3,13.45,1,1
"USA",4,5,0,8,0,0,100,5,.2,5,1,3.5,2,2.75,2,90,1,0,0,1,0,0,-2,-2,-2,-1,0,0,0,1,3,30,0,0
"USA",1,1,9,7,1,5,100,0,.1,0,0,1.8333334,2,4.25,1,90,0,0,0,1,1,1,-1,-2,-2,-2,0,1,0,0,3,13,1,1
"USA",1,1,10,4,3,9,90,10,.1,10,1,3.1666667,2,4,2,60.000004,1,0,1,1,1,1,-2,-2,-2,-2,0,1,0,0,3,13.45,1,1
"USA",2,4,10,10,10,10,100,0,0,0,0,3.3333333,2.2857144,4,0,70,1,0,1,1,0,0,-2,-2,-2,-2,0,0,1,0,3,13,1,1
"USA",4,2,10,10,10,10,100,20,0,20,0,3.5,2.2857144,6,2,50,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,1,3,94,1,1
"USA",4,2,10,8,2,9,100,10,.1,10,1,1.1666666,2,5,2,90,0,0,0,1,0,0,-1,-2,-1,-1,0,0,0,1,3,94.15000000000001,1,1
"USA",3,5,3,6,4,8,100,0,0,0,0,3.5,2.1428571,3.5,2,80,0,0,0,0,0,1,-2,-2,-2,-2,1,0,0,0,3,0,1,1
